region_name,category_name_en,year,total_revenue,num_orders,grp_region,grp_category,grp_year
Central-West,kitchen_dining_laundry_garden_furniture,2018,1402.6200000000001,4,0,0,0
Central-West,la_cuisine,2017,137.11,1,0,0,0
Central-West,luggage_accessories,2017,4344.74,27,0,0,0
Central-West,luggage_accessories,2018,3860.38,23,0,0,0
Central-West,market_place,2016,98.55000000000001,1,0,0,0
Central-West,market_place,2017,830.98,8,0,0,0
Central-West,market_place,2018,1001.66,9,0,0,0
Central-West,music,2018,1309.95,2,0,0,0
Central-West,musical_instruments,2017,1954.73,8,0,0,0
Central-West,musical_instruments,2018,10694.839999999998,22,0,0,0
Central-West,office_furniture,2017,7114.7199999999975,26,0,0,0
Central-West,office_furniture,2018,6262.240000000001,29,0,0,0
Central-West,party_supplies,2018,357.65,2,0,0,0
Central-West,perfumery,2016,687.8699999999999,3,0,0,0
Central-West,perfumery,2017,14552.160000000002,105,0,0,0
Central-West,perfumery,2018,12676.610000000002,93,0,0,0
Central-West,pet_shop,2017,5269.89,36,0,0,0
Central-West,pet_shop,2018,12168.389999999996,56,0,0,0
Central-West,security_and_services,2017,115.45,1,0,0,0
Central-West,signaling_and_security,2017,719.15,1,0,0,0
Central-West,signaling_and_security,2018,4247.389999999999,7,0,0,0
Central-West,small_appliances,2017,12383.539999999999,22,0,0,0
Central-West,small_appliances,2018,7069.9000000000015,23,0,0,0
Central-West,small_appliances_home_oven_and_coffee,2018,2448.19,3,0,0,0
Central-West,sports_leisure,2016,65.7,1,0,0,0
Central-West,sports_leisure,2017,30317.26,224,0,0,0
Central-West,sports_leisure,2018,41486.75000000002,240,0,0,0
Central-West,stationery,2017,7214.700000000001,55,0,0,0
Central-West,stationery,2018,9617.189999999999,73,0,0,0
Central-West,tablets_printing_image,2017,435.28999999999996,4,0,0,0
Central-West,telephony,2017,8761.260000000006,121,0,0,0
Central-West,telephony,2018,13120.140000000007,157,0,0,0
Central-West,toys,2016,338.83,3,0,0,0
Central-West,toys,2017,23552.320000000003,147,0,0,0
Central-West,toys,2018,10848.229999999994,83,0,0,0
Central-West,watches_gifts,2016,671.31,1,0,0,0
Central-West,watches_gifts,2017,36571.14000000001,131,0,0,0
Central-West,watches_gifts,2018,53337.52000000002,227,0,0,0
Central-West,,2018,50.239999999999995,1,0,0,0
North,agro_industry_and_commerce,2017,882.21,2,0,0,0
North,agro_industry_and_commerce,2018,1287.16,2,0,0,0
North,air_conditioning,2017,114.11,1,0,0,0
North,art,2017,202.88,2,0,0,0
North,art,2018,618.7299999999999,5,0,0,0
North,audio,2017,114.53,1,0,0,0
North,audio,2018,881.8499999999999,3,0,0,0
North,auto,2017,8135.109999999999,38,0,0,0
North,auto,2018,9867.52,45,0,0,0
North,baby,2017,6683.89,29,0,0,0
North,baby,2018,12700.950000000003,41,0,0,0
North,bed_bath_table,2017,7429.4,47,0,0,0
North,bed_bath_table,2018,4131.86,26,0,0,0
North,books_general_interest,2017,147.29,3,0,0,0
North,books_general_interest,2018,1101.1599999999999,5,0,0,0
North,books_imported,2018,168.72,1,0,0,0
North,books_technical,2017,176.18,1,0,0,0
North,books_technical,2018,294.8,3,0,0,0
North,christmas_supplies,2017,224.82000000000002,2,0,0,0
North,christmas_supplies,2018,1051.67,2,0,0,0
North,cine_photo,2018,314.74,2,0,0,0
North,computers,2017,10016.52,8,0,0,0
North,computers,2018,1602.54,3,0,0,0
North,computers_accessories,2017,15225.86,78,0,0,0
North,computers_accessories,2018,14798.280000000006,73,0,0,0
North,consoles_games,2017,1932.6399999999999,11,0,0,0
North,consoles_games,2018,2087.2999999999997,11,0,0,0
North,construction_tools_construction,2017,453.5,1,0,0,0
North,construction_tools_construction,2018,1668.08,5,0,0,0
North,construction_tools_lights,2018,425.13000000000005,3,0,0,0
North,construction_tools_safety,2018,402.34,1,0,0,0
North,cool_stuff,2016,121.00999999999999,1,0,0,0
North,cool_stuff,2017,11725.000000000002,56,0,0,0
North,cool_stuff,2018,5665.78,28,0,0,0
North,costruction_tools_garden,2017,175.56,2,0,0,0
North,costruction_tools_garden,2018,390.31000000000006,3,0,0,0
North,costruction_tools_tools,2018,52.629999999999995,1,0,0,0
North,drinks,2018,208.94,2,0,0,0
North,dvds_blu_ray,2017,46.05,1,0,0,0
North,electronics,2017,3190.8199999999997,25,0,0,0
North,electronics,2018,3127.63,28,0,0,0
North,fashion_bags_accessories,2017,3105.46,25,0,0,0
North,fashion_bags_accessories,2018,2183.4,19,0,0,0
North,fashion_male_clothing,2017,345.90000000000003,2,0,0,0
North,fashion_shoes,2017,764.6800000000001,5,0,0,0
North,fashion_shoes,2018,746.64,3,0,0,0
North,fashion_sport,2017,262.12,1,0,0,0
North,fashion_underwear_beach,2017,160.73000000000002,2,0,0,0
North,fashion_underwear_beach,2018,85.6,1,0,0,0
North,fixed_telephony,2017,2441.04,5,0,0,0
North,fixed_telephony,2018,41.14,1,0,0,0
North,food,2017,187.91,1,0,0,0
North,food,2018,126.44999999999999,1,0,0,0
North,food_drink,2017,85.85,1,0,0,0
North,furniture_decor,2016,634.3799999999999,3,0,0,0
North,furniture_decor,2017,8431.730000000003,46,0,0,0
North,furniture_decor,2018,11259.839999999997,48,0,0,0
North,furniture_living_room,2017,563.76,3,0,0,0
North,furniture_living_room,2018,391.84,2,0,0,0
North,garden_tools,2017,7737.839999999999,31,0,0,0
North,garden_tools,2018,5825.27,21,0,0,0
North,health_beauty,2016,69.02000000000001,1,0,0,0
North,health_beauty,2017,20700.61,88,0,0,0
North,health_beauty,2018,29007.199999999975,102,0,0,0
North,home_appliances,2017,623.4,7,0,0,0
North,home_appliances,2018,2269.4300000000003,11,0,0,0
North,home_appliances_2,2017,710.91,2,0,0,0
North,home_appliances_2,2018,1122.04,2,0,0,0
North,home_confort,2017,695.61,1,0,0,0
North,home_confort,2018,257.37,1,0,0,0
North,home_construction,2018,1427.1399999999999,7,0,0,0
North,housewares,2017,5611.59,30,0,0,0
North,housewares,2018,5033.329999999999,29,0,0,0
North,industry_commerce_and_business,2018,256.53,2,0,0,0
North,kitchen_dining_laundry_garden_furniture,2017,86.8,1,0,0,0
North,kitchen_dining_laundry_garden_furniture,2018,214.61,1,0,0,0
North,luggage_accessories,2017,3386.4700000000003,13,0,0,0
North,luggage_accessories,2018,1596.01,6,0,0,0
North,market_place,2017,1196.9299999999998,9,0,0,0
North,music,2018,38.95,1,0,0,0
North,musical_instruments,2017,2289.65,11,0,0,0
North,musical_instruments,2018,859.8800000000001,4,0,0,0
North,office_furniture,2017,4526.04,18,0,0,0
North,office_furniture,2018,5520.860000000001,17,0,0,0
North,perfumery,2017,5900.790000000001,34,0,0,0
North,perfumery,2018,4013.81,23,0,0,0
North,pet_shop,2017,3234.5600000000004,17,0,0,0
North,pet_shop,2018,1698.48,11,0,0,0
North,security_and_services,2017,209.06,1,0,0,0
North,signaling_and_security,2018,258.06,1,0,0,0
North,small_appliances,2017,3508.71,7,0,0,0
North,small_appliances,2018,519.47,3,0,0,0
North,small_appliances_home_oven_and_coffee,2018,4209.07,2,0,0,0
North,sports_leisure,2017,14851.420000000004,72,0,0,0
North,sports_leisure,2018,18505.359999999997,80,0,0,0
North,stationery,2017,2590.87,18,0,0,0
North,stationery,2018,4069.17,27,0,0,0
North,tablets_printing_image,2017,302.24,2,0,0,0
North,tablets_printing_image,2018,225.97,3,0,0,0
North,telephony,2017,7284.19,79,0,0,0
North,telephony,2018,9023.999999999996,55,0,0,0
North,toys,2016,663.93,1,0,0,0
North,toys,2017,7942.470000000001,44,0,0,0
North,toys,2018,3649.4300000000007,22,0,0,0
North,watches_gifts,2017,18969.08,59,0,0,0
North,watches_gifts,2018,23195.33,79,0,0,0
North,,2018,1028.3,1,0,0,0
Northeast,agro_industry_and_commerce,2017,5908.37,7,0,0,0
Northeast,agro_industry_and_commerce,2018,6457.490000000001,10,0,0,0
Northeast,air_conditioning,2017,1738.84,9,0,0,0
Northeast,air_conditioning,2018,1702.8500000000001,7,0,0,0
Northeast,art,2017,285.58000000000004,2,0,0,0
Northeast,art,2018,1569.5299999999997,12,0,0,0
Northeast,audio,2017,2706.83,19,0,0,0
Northeast,audio,2018,2820.97,18,0,0,0
Northeast,auto,2016,865.9100000000001,3,0,0,0
Northeast,auto,2017,37529.37000000001,164,0,0,0
Northeast,auto,2018,63455.310000000005,263,0,0,0
Northeast,baby,2017,20167.699999999993,107,0,0,0
Northeast,baby,2018,29694.84999999999,139,0,0,0
Northeast,bed_bath_table,2017,43821.129999999976,278,0,0,0
Northeast,bed_bath_table,2018,35227.79999999999,235,0,0,0
Northeast,books_general_interest,2016,144.54,1,0,0,0
Northeast,books_general_interest,2017,3143.0400000000004,31,0,0,0
Northeast,books_general_interest,2018,3591.2999999999993,29,0,0,0
Northeast,books_imported,2017,93.98,1,0,0,0
Northeast,books_imported,2018,889.62,2,0,0,0
Northeast,books_technical,2017,839.8100000000001,7,0,0,0
Northeast,books_technical,2018,1316.6499999999999,17,0,0,0
Northeast,cds_dvds_musicals,2018,117.58,1,0,0,0
Northeast,christmas_supplies,2017,309.11,4,0,0,0
Northeast,christmas_supplies,2018,1676.4900000000005,12,0,0,0
Northeast,cine_photo,2018,525.48,5,0,0,0
Northeast,computers,2017,40658.84,33,0,0,0
Northeast,computers,2018,20573.850000000002,17,0,0,0
Northeast,computers_accessories,2016,366.91,4,0,0,0
Northeast,computers_accessories,2017,55692.74000000001,266,0,0,0
Northeast,computers_accessories,2018,62189.32999999997,371,0,0,0
Northeast,consoles_games,2016,741.74,2,0,0,0
Northeast,consoles_games,2017,15059.000000000007,72,0,0,0
Northeast,consoles_games,2018,11239.76,33,0,0,0
Northeast,construction_tools_construction,2017,4461.8099999999995,8,0,0,0
Northeast,construction_tools_construction,2018,11774.139999999996,48,0,0,0
Northeast,construction_tools_lights,2017,331.2,1,0,0,0
Northeast,construction_tools_lights,2018,2428.1699999999996,12,0,0,0
Northeast,construction_tools_safety,2017,1192.53,6,0,0,0
Northeast,construction_tools_safety,2018,4702.67,15,0,0,0
Northeast,cool_stuff,2017,55898.06999999999,228,0,0,0
Northeast,cool_stuff,2018,36981.399999999994,161,0,0,0
Northeast,costruction_tools_garden,2017,2610.2799999999993,12,0,0,0
Northeast,costruction_tools_garden,2018,4078.9,16,0,0,0
Northeast,costruction_tools_tools,2017,140.07,2,0,0,0
Northeast,costruction_tools_tools,2018,1276.6499999999999,5,0,0,0
Northeast,diapers_and_hygiene,2018,233.8,3,0,0,0
Northeast,drinks,2017,366.83000000000004,3,0,0,0
Northeast,drinks,2018,732.9399999999999,7,0,0,0
Northeast,dvds_blu_ray,2017,119.03,3,0,0,0
Northeast,dvds_blu_ray,2018,123.6,2,0,0,0
Northeast,electronics,2017,8257.320000000002,77,0,0,0
Northeast,electronics,2018,17699.409999999993,187,0,0,0
Northeast,fashio_female_clothing,2017,239.9,2,0,0,0
Northeast,fashion_bags_accessories,2016,75.84,1,0,0,0
Northeast,fashion_bags_accessories,2017,12052.71,107,0,0,0
Northeast,fashion_bags_accessories,2018,10183.220000000001,79,0,0,0
Northeast,fashion_childrens_clothes,2017,107.06,1,0,0,0
Northeast,fashion_male_clothing,2017,1218.0599999999997,8,0,0,0
Northeast,fashion_male_clothing,2018,76.42,1,0,0,0
Northeast,fashion_shoes,2017,2226.4900000000002,17,0,0,0
Northeast,fashion_shoes,2018,2136.4199999999996,11,0,0,0
Northeast,fashion_sport,2017,475.08,3,0,0,0
Northeast,fashion_underwear_beach,2017,940.3800000000001,7,0,0,0
Northeast,fashion_underwear_beach,2018,249.29,2,0,0,0
Northeast,fixed_telephony,2017,2765.84,17,0,0,0
Northeast,fixed_telephony,2018,5752.199999999999,9,0,0,0
Northeast,flowers,2018,145.12,1,0,0,0
Northeast,food,2017,1448.65,16,0,0,0
Northeast,food,2018,1840.39,19,0,0,0
Northeast,food_drink,2017,2041.3000000000002,12,0,0,0
Northeast,food_drink,2018,861.5400000000002,11,0,0,0
Northeast,furniture_bedroom,2017,1258.1599999999999,5,0,0,0
Northeast,furniture_bedroom,2018,794.8499999999999,4,0,0,0
Northeast,furniture_decor,2016,493.09000000000003,4,0,0,0
Northeast,furniture_decor,2017,42017.390000000014,258,0,0,0
Northeast,furniture_decor,2018,42541.37999999998,239,0,0,0
Northeast,furniture_living_room,2017,5060.72,19,0,0,0
Northeast,furniture_living_room,2018,4956.7300000000005,16,0,0,0
Northeast,furniture_mattress_and_upholstery,2017,288.29,1,0,0,0
Northeast,garden_tools,2017,40316.33000000002,206,0,0,0
Northeast,garden_tools,2018,29696.400000000005,139,0,0,0
Northeast,health_beauty,2016,530.07,4,0,0,0
Northeast,health_beauty,2017,102586.52000000002,466,0,0,0
Northeast,health_beauty,2018,133670.58000000013,611,0,0,0
Northeast,home_appliances,2017,4147.2,26,0,0,0
Northeast,home_appliances,2018,7362.6500000000015,39,0,0,0
Northeast,home_appliances_2,2017,2942.6100000000006,7,0,0,0
Northeast,home_appliances_2,2018,8697.15,10,0,0,0
Northeast,home_comfort_2,2017,29.689999999999998,1,0,0,0
Northeast,home_confort,2017,3476.6000000000004,19,0,0,0
Northeast,home_confort,2018,1787.62,10,0,0,0
Northeast,home_construction,2017,4811.870000000001,14,0,0,0
Northeast,home_construction,2018,7683.539999999999,30,0,0,0
Northeast,housewares,2016,716.32,3,0,0,0
Northeast,housewares,2017,18039.819999999996,138,0,0,0
Northeast,housewares,2018,36600.83000000002,197,0,0,0
Northeast,industry_commerce_and_business,2017,1557.38,4,0,0,0
Northeast,industry_commerce_and_business,2018,7102.879999999999,18,0,0,0
Northeast,kitchen_dining_laundry_garden_furniture,2017,2255.46,9,0,0,0
Northeast,kitchen_dining_laundry_garden_furniture,2018,884.0999999999999,3,0,0,0
Northeast,luggage_accessories,2017,10662.789999999995,60,0,0,0
Northeast,luggage_accessories,2018,6336.47,34,0,0,0
Northeast,market_place,2016,625.2,1,0,0,0
Northeast,market_place,2017,5044.459999999999,23,0,0,0
Northeast,market_place,2018,539.38,3,0,0,0
