region_name,state_abbr,city_name,total_revenue,num_orders
Central-West,GO,abadiania,1025.52,1
Northeast,CE,bela cruz,1024.47,4
Southeast,MG,alvinópolis,1020.9599999999999,11
South,PR,assai,1019.8,5
Southeast,MG,monte santo de minas,1018.0,9
Northeast,BA,canavieiras,1017.29,6
Southeast,MG,belo horizonta,1015.7,6
Southeast,MG,belo oriente,1015.3200000000002,7
Southeast,MG,sao goncalo do rio abaixo,1013.4300000000001,6
Northeast,PI,paulistana,1013.26,3
Southeast,SP,pedro de toledo,1013.0900000000001,9
South,PR,figueira,1012.8699999999998,4
Southeast,SP,holambra ii,1012.82,5
South,SC,canelinha,1012.72,4
Southeast,SP,boa esperança do sul,1012.6199999999999,11
South,SC,santa cecília,1011.42,6
South,SC,palma sola,1010.55,4
Southeast,SP,taiúva,1010.1300000000001,5
Southeast,ES,itarana,1010.02,3
Southeast,SP,itaju,1008.3699999999999,3
South,PR,sertanopolis,1008.1399999999999,4
Central-West,GO,mozarlandia,1008.0399999999997,7
Northeast,MA,paço do lumiar,1005.9300000000001,7
South,RS,candido godoi,1005.8399999999999,1
South,PR,santa fé,1005.44,5
Northeast,RN,são miguel,1004.52,4
Southeast,SP,capela do alto,1004.25,3
Southeast,RJ,"rio de janeiro, rio de janeiro, brasil",1003.81,9
Central-West,GO,santa barbara de goias,1003.5,5
Central-West,GO,itapuranga,1003.2600000000001,7
Central-West,GO,itaja,1001.9,3
Southeast,MG,grao mogol,999.3,3
Central-West,DF,sao sebastiao,999.24,7
Northeast,BA,cansanção,998.37,7
Northeast,AL,campo alegre,997.96,2
South,PR,faxinal,995.73,9
Southeast,SP,guapiacu,995.55,6
South,RS,são marcos,994.7600000000001,9
Southeast,MG,bom sucesso,994.7,4
South,SC,bom jesus,993.16,2
Southeast,SP,miracatu,991.81,5
Northeast,CE,lavras da mangabeira,986.4599999999999,2
South,SC,rodeio,985.95,7
Southeast,SP,irapuru,985.29,6
Southeast,SP,julio mesquita,984.5900000000001,2
South,RS,júlio de castilhos,983.0399999999998,10
Southeast,SP,angatuba,983.0300000000001,8
South,PR,cruzeiro do oeste,982.5,7
Southeast,SP,urânia,980.29,4
South,PR,guaira,979.8000000000001,7
Southeast,ES,itapemirim,979.3599999999999,8
Southeast,MG,são gonçalo do pará,975.8499999999999,3
Southeast,SP,borborema,975.5500000000001,9
Northeast,BA,mairi,974.31,2
Southeast,MG,guaranésia,972.8300000000002,9
South,SC,nova trento,972.21,6
Central-West,GO,santa rita do araguaia,972.0300000000001,7
Southeast,MG,conceicao do rio verde,970.1500000000001,5
Southeast,MG,alpinopolis,969.4499999999999,7
Southeast,MG,novo cruzeiro,968.8700000000001,9
North,PA,goianesia do para,964.7099999999999,3
Northeast,PE,moreno,960.09,5
Southeast,MG,arinos,959.82,8
South,RS,portao,959.4599999999998,10
Central-West,DF,brasília,957.1599999999999,5
Northeast,RN,sao jose de mipibu,956.19,3
Central-West,GO,aparecida de goiania,953.8700000000001,8
Northeast,PI,amarante,953.84,1
Southeast,SP,santa branca,953.35,9
Central-West,GO,inaciolandia,952.92,3
Southeast,SP,jacaré (cabreúva),952.5799999999999,8
Central-West,MS,alcinópolis,952.35,6
North,RO,espigao do oeste,951.1700000000001,6
Central-West,GO,goianesia,950.5999999999999,3
Northeast,PE,paudalho,950.14,2
South,PR,cidade gaucha,950.0999999999999,5
Northeast,MA,alto parnaíba,948.0999999999999,5
North,TO,tocantinopolis,947.28,7
Northeast,CE,santana do cariri,946.6800000000001,3
South,PR,nova londrina,946.56,9
Southeast,SP,sao luis do paraitinga,945.99,3
Southeast,MG,resplendor,944.6000000000001,10
Southeast,SP,areiópolis,944.24,3
Southeast,MG,matozinhos,944.16,12
Central-West,MT,barra do bugres,943.6500000000001,4
Northeast,RN,santana do seridó,943.37,2
Southeast,MG,marilac,942.78,1
Southeast,MG,rio manso,939.6800000000001,5
Northeast,BA,queimadas,937.57,4
Southeast,SP,aracariguama,937.0699999999999,10
Southeast,SP,piquete,934.55,9
Southeast,SP,nazaré paulista,934.3299999999999,7
South,RS,tapes,934.2600000000001,6
South,PR,porecatu,930.71,9
Northeast,MA,são mateus do maranhão,930.7,3
North,TO,lagoa da confusão,929.74,5
Southeast,ES,mimoso do sul,928.89,10
Southeast,MG,dores do indaia,928.8599999999999,7
South,PR,mambore,928.47,8
Central-West,GO,campos belos,927.53,7
Northeast,MA,são bernardo,923.3899999999999,3
Southeast,MG,brasília de minas,922.9199999999998,9
Southeast,MG,lagoa formosa,921.92,7
Central-West,GO,mambaí,921.9,2
Northeast,BA,ruy barbosa,921.1499999999999,7
Southeast,MG,datas,920.94,1
Southeast,MG,lima duarte,920.8599999999999,6
South,RS,getúlio vargas,919.9399999999999,8
Northeast,PB,juru,919.38,1
Northeast,MA,buriticupu,919.03,5
Southeast,SP,guaicara,917.5600000000002,8
Central-West,GO,itaguari,913.7,1
South,PR,imbituva,913.6600000000001,8
Southeast,RJ,trajano de morais,913.04,8
Southeast,RJ,arrozal,912.81,3
Southeast,MG,tarumirim,912.25,4
Central-West,GO,piranhas,911.81,4
Southeast,ES,joao neiva,911.3999999999999,8
Southeast,SP,ibira,911.03,7
South,RS,tres coroas,910.48,6
Southeast,MG,cachoeira do campo,909.84,2
Northeast,BA,boninal,909.8,2
Southeast,SP,lutécia,908.84,1
South,RS,chui,908.1599999999999,5
South,RS,cerro largo,907.81,7
South,PR,mallet,907.63,6
Southeast,SP,avanhandava,905.33,7
Southeast,SP,joanópolis,904.51,6
South,SC,são joão do sul,902.37,2
Northeast,CE,acopiara,901.67,7
Northeast,CE,varjota,901.1800000000001,4
South,PR,carlópolis,901.18,6
Northeast,SE,sao cristovao,900.43,7
South,PR,salto do lontra,900.11,4
South,RS,candiota,899.5999999999999,4
Central-West,DF,brazlandia,898.5200000000001,7
Southeast,SP,igarapava,897.02,7
Southeast,SP,nuporanga,895.41,3
Northeast,MA,icatu,892.9,1
Northeast,MA,santa helena,892.14,3
Northeast,BA,nova viçosa,891.14,5
Central-West,MS,amambaí,890.69,6
Central-West,MS,dois irmãos do buriti,890.15,3
Northeast,SE,capela,889.17,3
South,SC,botuverá,886.2,6
Southeast,SP,jacupiranga,885.57,5
Northeast,BA,ubaíra,884.9100000000001,6
Southeast,MG,santa rita de caldas,882.2199999999999,6
Southeast,SP,bilac,881.9099999999999,8
Northeast,BA,conde,881.52,2
Southeast,MG,rio paranaiba,881.4800000000001,9
Northeast,PE,lagoa do carro,880.78,2
Southeast,SP,juquia,880.09,9
Northeast,MA,ze doca,878.9200000000001,5
Northeast,BA,barra do choça,877.49,3
Central-West,DF,são sebastião,877.4200000000001,6
South,SC,ilhota,877.22,4
Northeast,BA,maracas,877.0900000000001,5
South,RS,campos borges,877.04,3
South,SC,papanduva,876.65,8
Southeast,MG,serro,876.62,2
Central-West,GO,cidade ocidental,876.5699999999999,8
Southeast,MG,são pedro dos ferros,875.73,4
Central-West,MT,colniza,875.49,3
Southeast,SP,taguaí,873.5600000000002,10
South,SC,seara,873.34,6
Southeast,MG,campina verde,868.85,10
Central-West,GO,guapo,868.7,6
Southeast,MG,bicas,868.5500000000001,7
Southeast,MG,formoso,867.1,2
Northeast,BA,arataca,865.78,1
Southeast,MG,virgem da lapa,864.44,3
South,SC,laurentino,863.27,5
South,PR,marmeleiro,862.98,7
Northeast,CE,jaguaribe,861.8000000000001,5
North,TO,araguatins,859.8999999999999,5
Southeast,RJ,vila muriqui,856.4499999999999,7
Southeast,SP,murutinga do sul,855.71,2
Southeast,SP,bananal,855.71,6
Central-West,MT,chapada dos guimaraes,854.78,4
Northeast,PE,goiana,853.9599999999999,9
Northeast,BA,itajuípe,852.2800000000002,3
South,PR,morretes,848.92,4
Southeast,SP,paraíso,848.74,5
Southeast,SP,echaporã,847.25,2
Southeast,SP,cafelândia,846.2,8
South,SC,presidente getúlio,846.13,6
Southeast,SP,ribeirão bonito,846.12,7
Northeast,BA,itirucu,845.37,3
Southeast,SP,jordanésia,845.2699999999999,5
Northeast,MA,viana,845.14,5
Central-West,GO,são joão d'aliança,844.86,3
South,SC,alfredo wagner,844.67,2
Southeast,MG,pedralva,844.33,3
South,PR,floresta,844.0899999999999,5
Southeast,SP,igarata,843.8699999999999,5
Northeast,PI,matias olimpio,841.4,1
North,TO,sandolândia,841.28,1
Southeast,MG,carbonita,841.1200000000001,4
Southeast,MG,muzambinho,840.63,9
Northeast,RN,jucurutu,839.8299999999999,4
Southeast,SP,cananéia,838.8900000000001,8
Central-West,GO,luziania,838.26,5
South,SC,catanduvas,834.99,6
Southeast,SP,cabreúva,834.1200000000001,6
Central-West,GO,firminópolis,832.5,7
Northeast,BA,morro de são paulo,832.0,1
South,RS,três cachoeiras,831.4199999999998,7
Southeast,SP,santa albertina,830.42,7
South,RS,pejucara,830.35,4
Northeast,MA,arari,828.79,2
Northeast,PI,piripiri,828.5600000000001,7
Northeast,BA,sao felipe,827.01,2
Northeast,BA,madre de deus,826.74,7
South,SC,vargem bonita,826.27,5
Southeast,RJ,avelar,824.24,4
South,SC,rio do campo,822.25,4
Central-West,MT,alto taquari,821.17,3
South,SC,cunha porã,820.9499999999999,5
Northeast,PI,urucui,820.26,4
South,PR,vere,818.2199999999999,3
Northeast,BA,coribe,816.78,8
South,RS,estação,815.2199999999999,5
Northeast,CE,caninde,814.2,6
Northeast,MA,joao lisboa,810.71,5
Southeast,MG,nepomuceno,810.6800000000001,9
Central-West,GO,anicuns,809.19,8
Southeast,MG,jaboticatubas,808.8699999999999,1
Northeast,PE,iati,807.24,3
South,PR,capanema,805.98,9
Southeast,MG,caetanopolis,805.6199999999999,8
North,RO,alta floresta d'oeste,805.5,3
Northeast,PE,timbaúba,804.45,7
Northeast,PI,oeiras,803.9100000000001,6
South,PR,santa helena,803.75,9
North,RO,nova mamore,803.1600000000001,2
Northeast,BA,conceição da feira,802.95,2
Southeast,SP,sabino,802.87,3
Northeast,MA,maracaçumé,802.42,4
South,RS,cacequi,801.37,4
Northeast,CE,alto santo,801.01,3
South,RS,barros cassal,800.36,3
Southeast,MG,piedade de caratinga,799.83,7
Southeast,MG,jaíba,799.0400000000001,6
Northeast,BA,andorinha,797.61,5
South,SC,abelardo luz,797.5799999999999,6
Northeast,BA,medeiros neto,797.2900000000001,7
Northeast,PB,cuité,796.51,3
North,RO,jaru,795.24,5
South,PR,peabiru,793.96,5
South,PR,santa cruz de monte castelo,793.0500000000001,4
South,RS,rio pardo,791.4499999999999,5
South,PR,jaguapitã,790.68,1
Southeast,MG,divisa nova,788.71,1
Southeast,SP,catiguá,788.52,6
Southeast,SP,sao bento do sapucai,788.0600000000002,7
Northeast,BA,miguel calmon,787.81,5
South,SC,guabiruba,786.81,5
Southeast,SP,cajuru,786.74,9
Southeast,RJ,carapebus,786.52,5
Southeast,MG,campanha,786.2700000000001,7
Northeast,CE,solonopole,785.74,2
South,PR,corbélia,785.2199999999999,3
Northeast,BA,sobradinho,783.7400000000001,5
South,SC,são joão do itaperiú,782.74,1
Northeast,BA,ribeira do pombal,782.3599999999999,8
Southeast,ES,bom jesus do norte,781.85,4
Central-West,GO,santa cruz de goias,779.6899999999999,2
Southeast,SP,dumont,779.6400000000001,4
Central-West,GO,santo antonio do descoberto,778.98,4
Southeast,MG,tocantins,778.49,6
