region_name,state_abbr,city_name,total_revenue,num_orders
South,PR,campina da lagoa,593.8199999999999,2
South,RS,campo novo,593.01,2
Northeast,CE,aracoiaba,592.44,3
Southeast,SP,itobi,591.42,7
North,PA,santa isabel do pará,591.2199999999999,5
Southeast,RJ,engenheiro paulo de frontin,590.89,6
Southeast,MG,caputira,590.6600000000001,2
Southeast,MG,capitólio,590.12,5
Northeast,PE,gloria do goita,587.92,2
Southeast,SP,general salgado,587.28,6
Northeast,BA,iguai,587.1400000000001,2
Southeast,MG,sao tiago,586.45,5
Northeast,BA,utinga,586.4499999999999,5
Northeast,MA,pindaré mirim,586.2,3
South,RS,sananduva,585.57,6
South,PR,francisco beltrao,583.52,2
Northeast,RN,nova cruz,583.25,3
Southeast,MG,padre carvalho,582.94,1
Central-West,MT,alto boa vista,581.99,5
Southeast,MG,ibiraci,581.14,4
